Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm
2023-11-1,16.0,22.3,0.0,10.0,5.1,SSE,39.0,19.0,68.0,5,S,11,1021.1,21.4,52,5,SE,24,1019.6
2023-11-2,14.5,23.1,0.0,6.8,7.1,SW,31.0,18.7,69.0,5,SSW,11,1022.1,22.0,54,3,ESE,19,1019.4
2023-11-3,16.3,24.5,4.4,6.0,4.2,ESE,31.0,18.8,86.0,7,S,2,1020.2,22.8,67,6,ESE,20,1017.4
2023-11-4,16.9,22.3,0.0,5.2,1.4,SE,50.0,20.9,79.0,7,ENE,15,1021.2,18.9,92,8,SSE,15,1021.4
2023-11-5,15.6,20.2,16.8,,0.1,ESE,44.0,15.9,100.0,8,ESE,33,1026.5,18.7,66,8,ESE,24,1026.8
2023-11-6,13.7,22.0,3.0,3.8,5.4,ENE,31.0,17.8,83.0,6,WNW,6,1026.8,21.4,63,6,E,22,1023.6
2023-11-7,14.0,24.2,0.2,5.2,11.6,ENE,46.0,19.6,76.0,4,WNW,4,1023.3,23.6,61,5,NE,28,1019.2
2023-11-8,15.8,25.9,0.0,7.4,10.7,ENE,44.0,21.1,81.0,5,E,4,1019.6,24.2,71,5,E,30,1015.9
2023-11-9,17.7,25.5,0.0,8.6,5.8,ENE,43.0,21.2,87.0,5,ENE,9,1017.0,22.5,76,5,NE,19,1013.5
2023-11-10,16.2,25.1,10.6,5.2,11.8,E,46.0,19.1,92.0,6,WSW,13,1018.0,24.3,73,3,ENE,31,1016.7
2023-11-11,18.6,27.1,0.2,6.2,12.2,NNE,56.0,22.2,87.0,1,ENE,9,1018.9,26.3,66,6,NE,22,1014.4
2023-11-12,18.2,26.3,0.0,11.0,7.9,S,44.0,21.2,77.0,2,S,15,1016.7,23.1,78,7,ESE,17,1012.8
2023-11-13,17.5,23.2,0.8,6.4,6.3,SSE,44.0,18.4,87.0,7,SSE,17,1019.2,22.9,59,6,ESE,19,1017.1
2023-11-14,16.3,25.2,0.2,8.0,9.5,E,35.0,21.8,75.0,3,N,11,1014.9,23.6,71,5,E,24,1012.1
2023-11-15,19.6,26.2,0.4,7.8,6.8,S,41.0,21.8,89.0,7,ESE,9,1012.8,24.4,74,7,S,24,1010.5
2023-11-16,19.6,27.1,0.0,5.8,9.1,,,23.0,77.0,5,SE,4,1010.0,23.9,68,7,ESE,24,1008.2
2023-11-17,15.7,22.8,12.6,7.4,10.1,SSE,54.0,18.3,66.0,7,S,26,1017.3,21.5,56,6,S,30,1017.7
2023-11-18,14.6,24.4,0.6,9.0,12.7,NE,44.0,20.6,69.0,4,N,15,1021.4,23.4,56,2,NE,26,1019.4
2023-11-19,15.6,26.1,0.0,9.6,12.6,NE,54.0,21.4,69.0,1,NE,15,1021.2,25.2,63,1,NE,26,1017.9
2023-11-20,19.4,24.8,0.0,8.4,0.1,NNE,44.0,21.6,85.0,8,NW,9,1019.5,23.8,79,8,NE,13,1017.5
2023-11-21,18.6,25.8,3.4,6.0,3.1,ENE,48.0,19.5,98.0,7,ESE,6,1019.8,23.6,75,7,SSW,15,1017.4
2023-11-22,18.8,26.6,0.0,4.0,9.3,SSE,50.0,23.4,75.0,6,SSW,19,1021.1,25.7,63,4,SSE,31,1020.2
2023-11-23,19.1,24.7,0.8,2.8,2.4,SSW,43.0,21.1,91.0,7,SSW,19,1022.8,20.7,97,7,S,20,1021.8
2023-11-24,18.7,23.6,14.8,4.2,0.0,NE,35.0,20.1,,8,W,4,1021.5,22.5,89,8,E,15,1018.9
2023-11-25,18.3,23.3,6.0,2.2,0.1,NE,37.0,20.2,100.0,8,NNE,13,1015.8,21.4,93,7,NE,19,1011.9
2023-11-26,18.5,32.0,1.8,3.2,10.4,NE,37.0,22.6,89.0,3,ESE,2,1010.7,26.4,65,6,ESE,24,1008.8
2023-11-27,20.4,26.8,0.2,7.0,11.7,SSE,33.0,23.3,83.0,7,SSE,26,1013.0,24.3,77,7,ESE,24,1011.9
2023-11-28,20.2,21.3,0.0,6.8,0.0,E,50.0,21.0,88.0,8,E,20,1015.8,20.6,93,8,E,33,1013.1
2023-11-29,19.6,25.7,9.4,2.6,3.4,NE,56.0,21.1,99.0,7,NE,20,1005.6,22.3,90,7,NE,26,1000.9
2023-11-30,16.8,27.3,33.8,0.8,7.3,,,20.3,92.0,2,ESE,6,1002.1,27.0,54,7,N,20,999.3
