"Daily Weather Observations for Sydney, New South Wales for June 2024"
"Prepared at 05:37 UTC on Wednesday 12 June 2024   IDCJDW2124.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,13.8,15.8,0.4,3.2,0.0,S,65,13:04,14.4,73,8,W,19,1019.3,14.5,96,8,S,7,1018.7
,2024-06-2,11.4,16.6,142.6,,3.7,SW,48,05:55,13.7,63,6,W,24,1016.8,15.7,64,7,W,15,1014.4
,2024-06-3,9.8,19.0,0,4.0,7.8,W,41,22:09,13.7,64,1,WNW,20,1012.2,17.9,38,6,W,20,1010.0
,2024-06-4,8.9,18.2,0,3.0,4.7,W,37,09:53,11.9,65,4,W,19,1015.7,16.5,56,7,NW,9,1014.9
,2024-06-5,11.0,18.5,0,1.8,0.0,W,31,03:43,12.1,73,7,W,15,1019.1,16.2,78,7,SW,13,1017.5
,2024-06-6,11.6,16.3,7.0,0.6,0.0,W,43,21:42,13.3,95,7,WNW,11,1018.5,14.0,92,8,W,11,1016.7
,2024-06-7,12.9,19.3,62.0,,3.8,,,,13.3,97,7,WNW,19,1013.7,17.3,79,,WNW,13,1011.1
,2024-06-8,11.6,19.1,,0.2,1.3,W,35,10:36,13.2,89,7,W,20,1012.3,18.8,60,6,W,17,1009.7
,2024-06-9,10.8,21.2,0,1.4,8.1,SW,35,19:44,12.4,88,6,W,13,1017.1,20.5,48,1,NW,9,1015.7
,2024-06-10,9.0,18.3,0,2.6,8.9,WSW,44,10:19,12.8,68,2,W,15,1021.6,16.6,53,2,S,19,1020.7
,2024-06-11,8.1,16.6,0,3.8,2.5,NW,50,20:41,10.1,82,7,W,15,1020.2,16.0,55,7,WNW,4,1014.0
,2024-06-12,10.1,,0,2.8,,,,,15.2,58,2,W,9,1009.3,13.6,61,7,SSW,31,1011.3
